date,game_id,home_team,away_team,favorite,underdog,spread,fav_votes,dog_votes,ensemble_pick_side,ensemble_pick_team,ensemble_correct
2025-11-27,2025-11-27_LaLakers_Dallas,La Lakers,Dallas,La Lakers,Dallas,10.5,1,2,UNDERDOG,Dallas,1
2025-11-27,2025-11-27_NewYork_Milwaukee,New York,Milwaukee,New York,Milwaukee,7.5,3,1,FAVORITE,New York,1
2025-11-27,2025-11-27_Philadelphia_Brooklyn,Brooklyn,Philadelphia,Philadelphia,Brooklyn,7.5,1,3,UNDERDOG,Brooklyn,0
2025-11-27,2025-11-27_Utah_Sacramento,Utah,Sacramento,Utah,Sacramento,1.5,0,3,UNDERDOG,Sacramento,0
2025-11-28,2025-11-28_Chicago_Charlotte,Charlotte,Chicago,Chicago,Charlotte,2.5,3,1,FAVORITE,Chicago,0
2025-11-28,2025-11-28_Cleveland_Atlanta,Atlanta,Cleveland,Cleveland,Atlanta,6.5,0,4,UNDERDOG,Atlanta,1
2025-11-28,2025-11-28_Denver_SanAntonio,Denver,San Antonio,Denver,San Antonio,7.5,2,1,FAVORITE,Denver,0
2025-11-28,2025-11-28_Indiana_Washington,Indiana,Washington,Indiana,Washington,6.5,4,0,FAVORITE,Indiana,1
2025-11-28,2025-11-28_LaClippers_Memphis,Memphis,La Clippers,La Clippers,Memphis,6.5,3,1,FAVORITE,La Clippers,0
2025-11-28,2025-11-28_LaLakers_Dallas,Dallas,La Lakers,La Lakers,Dallas,10.5,1,3,UNDERDOG,Dallas,1
2025-11-28,2025-11-28_NewYork_Milwaukee,New York,Milwaukee,New York,Milwaukee,7.5,4,0,FAVORITE,New York,1
2025-11-28,2025-11-28_OklaCity_Phoenix,Phoenix,Okla City,Okla City,Phoenix,14.5,1,3,UNDERDOG,Phoenix,1
2025-11-28,2025-11-28_Utah_Sacramento,Utah,Sacramento,Utah,Sacramento,1.5,2,0,FAVORITE,Utah,1
2025-11-29,2025-11-29_Chicago_Indiana,Indiana,Chicago,Chicago,Indiana,3.5,3,1,FAVORITE,Chicago,0
2025-11-29,2025-11-29_Denver_Phoenix,Phoenix,Denver,Denver,Phoenix,3.5,0,3,UNDERDOG,Phoenix,0
2025-11-29,2025-11-29_GoldenState_NewOrleans,Golden State,New Orleans,Golden State,New Orleans,8.5,3,0,FAVORITE,Golden State,0
2025-11-29,2025-11-29_LaClippers_Dallas,Dallas,La Clippers,La Clippers,Dallas,7.5,0,2,UNDERDOG,Dallas,1
2025-11-29,2025-11-29_Miami_Detroit,Miami,Detroit,Miami,Detroit,3.5,0,4,UNDERDOG,Detroit,1
2025-11-29,2025-11-29_Milwaukee_Brooklyn,Milwaukee,Brooklyn,Milwaukee,Brooklyn,11.5,2,1,FAVORITE,Milwaukee,1
2025-11-29,2025-11-29_Minnesota_Boston,Minnesota,Boston,Minnesota,Boston,7.5,3,0,FAVORITE,Minnesota,0
2025-11-29,2025-11-29_Toronto_Charlotte,Charlotte,Toronto,Toronto,Charlotte,9.5,4,0,FAVORITE,Toronto,0
2025-11-30,2025-11-30_Cleveland_Boston,Cleveland,Boston,Cleveland,Boston,6.5,4,0,FAVORITE,Cleveland,0
2025-11-30,2025-11-30_Houston_Utah,Utah,Houston,Houston,Utah,11.5,3,1,FAVORITE,Houston,1
2025-11-30,2025-11-30_LaLakers_NewOrleans,La Lakers,New Orleans,La Lakers,New Orleans,15.5,1,2,UNDERDOG,New Orleans,1
2025-11-30,2025-11-30_Memphis_Sacramento,Sacramento,Memphis,Memphis,Sacramento,3.5,2,1,FAVORITE,Memphis,1
2025-11-30,2025-11-30_Minnesota_SanAntonio,Minnesota,San Antonio,Minnesota,San Antonio,3.5,0,4,UNDERDOG,San Antonio,0
2025-11-30,2025-11-30_NewYork_Toronto,New York,Toronto,New York,Toronto,7.5,0,4,UNDERDOG,Toronto,0
2025-11-30,2025-11-30_OklaCity_Portland,Portland,Okla City,Okla City,Portland,11.5,0,4,UNDERDOG,Portland,1
