date,favorite,underdog,spread,model_name,model_type,probability,predicted_cover,actual_cover,correct,week,Date,Favorite,Underdog,Fav. Odds,Dog Odds,fav_implied_prob,dog_implied_prob,model_fav_prob,model_dog_prob,regressed_fav_prob,regressed_dog_prob,fav_predictive_edge,dog_predictive_edge,best_edge,best_side,regressed_prediction,regressed_correct
2025-10-26,La Lakers,Sacramento,2.5,logistic,Away Favorite,0.3200125431359427,0,1,False,43,2025-10-26,La Lakers,Sacramento,-111,107,0.5260663507109005,0.4830917874396135,0.3200125431359427,0.6799874568640574,0.45394751805966527,0.5520052717381688,-0.0721188326512352,0.06891348429855532,0.06891348429855532,underdog,0,0
2025-10-27,Cleveland,Detroit,2.5,logistic,Away Favorite,0.5781036625027148,1,1,True,44,2025-10-27,Cleveland,Detroit,100,-102,0.5,0.504950495049505,0.5781036625027148,0.42189633749728517,0.5273362818759502,0.47588153990622806,0.027336281875950164,-0.029068955143276898,0.027336281875950164,favorite,1,1
2025-10-27,Orlando,Philadelphia,5.5,logistic,Away Favorite,0.475154123526142,0,0,True,44,2025-10-27,Orlando,Philadelphia,-117,113,0.5391705069124424,0.4694835680751174,0.475154123526142,0.5248458764738579,0.5167647727272372,0.4888603760146766,-0.022405734185205195,0.019376807939559204,0.019376807939559204,underdog,1,0
2025-10-27,Atlanta,Chicago,2.5,logistic,Away Favorite,0.3420082928417035,0,0,True,44,2025-10-27,Atlanta,Chicago,101,-107,0.4975124378109453,0.5169082125603864,0.3420082928417035,0.6579917071582966,0.44308598707171065,0.566287435669655,-0.05442645073923463,0.049379223109268566,0.049379223109268566,underdog,0,1
2025-10-27,Houston,Brooklyn,15.5,logistic,Home Favorite,0.7571739301857315,1,1,True,44,2025-10-27,Houston,Brooklyn,-106,104,0.5145631067961165,0.49019607843137253,0.7571739301857315,0.24282606981426846,0.5994768949824818,0.4036165754153861,0.0849137881863653,-0.08657950301598644,0.0849137881863653,favorite,1,1
2025-10-27,New Orleans,Boston,1.5,logistic,Home Favorite,0.5488444887301188,1,0,False,44,2025-10-27,New Orleans,Boston,-110,-110,0.5238095238095238,0.5238095238095238,0.5488444887301188,0.4511555112698812,0.532571761531732,0.49838061942064893,0.008762237722208188,-0.025428904388874907,0.008762237722208188,favorite,1,0
2025-10-27,San Antonio,Toronto,4.5,logistic,Away Favorite,0.3218883983812056,0,0,True,44,2025-10-27,San Antonio,Toronto,-107,106,0.5169082125603864,0.4854368932038835,0.3218883983812056,0.6781116016187945,0.4486512775976732,0.5528730411491023,-0.06825693496271323,0.0674361479452188,0.0674361479452188,underdog,0,1
2025-10-27,Okla City,Dallas,8.5,logistic,Away Favorite,0.6044457516633203,1,0,False,44,2025-10-27,Okla City,Dallas,-110,-110,0.5238095238095238,0.5238095238095238,0.6044457516633203,0.39555424833667974,0.5520322035583526,0.47892017739402837,0.02822267974882875,-0.04488934641549547,0.02822267974882875,favorite,1,0
2025-10-27,Utah,Phoenix,1.5,logistic,Home Favorite,0.7246723985820944,1,1,True,44,2025-10-27,Utah,Phoenix,-110,-110,0.5238095238095238,0.5238095238095238,0.7246723985820944,0.2753276014179056,0.5941115299799236,0.43684085097245745,0.07030200617039972,-0.08696867283706639,0.07030200617039972,favorite,1,1
2025-10-27,Denver,Minnesota,6.5,logistic,Away Favorite,0.5346390557792308,1,1,True,44,2025-10-27,Denver,Minnesota,-104,100,0.5098039215686274,0.5,0.5346390557792308,0.46536094422076923,0.5184962185423386,0.4878763304772692,0.008692296973711211,-0.012123669522730807,0.008692296973711211,favorite,1,1
2025-10-27,Golden State,Memphis,7.5,logistic,Away Favorite,0.3497725240067087,0,0,True,44,2025-10-27,Golden State,Memphis,-112,106,0.5283018867924528,0.4854368932038835,0.3497725240067087,0.6502274759932913,0.46581660981744244,0.5431135971801763,-0.062485276975010384,0.057676703976292765,0.057676703976292765,underdog,0,1
2025-10-27,Portland,La Lakers,2.5,logistic,Away Favorite,0.7146861912302016,1,1,True,44,2025-10-27,Portland,La Lakers,-110,-110,0.5238095238095238,0.5238095238095238,0.7146861912302016,0.2853138087697984,0.5906163574067611,0.4403360235456199,0.06680683359723727,-0.08347350026390393,0.06680683359723727,favorite,1,1
2025-10-28,Philadelphia,Washington,4.5,logistic,Away Favorite,0.5723981849258993,1,1,True,44,2025-10-28,Philadelphia,Washington,-110,-110,0.5238095238095238,0.5238095238095238,0.5723981849258993,0.42760181507410067,0.5408155552002553,0.4901368257521257,0.017006031390731424,-0.03367269805739814,0.017006031390731424,favorite,1,1
