date,game_id,home_team,away_team,favorite_team,underdog_team,spread,model_name,pick_side,pick_team,pick_line,result
2025-11-17,2025-11-17_Cleveland_Milwaukee,Cleveland,Milwaukee,Cleveland,Milwaukee,7.5,Linear,FAVORITE,Cleveland,-7.5,WIN
2025-11-17,2025-11-17_Cleveland_Milwaukee,Cleveland,Milwaukee,Cleveland,Milwaukee,7.5,Random Forest,FAVORITE,Cleveland,-7.5,WIN
2025-11-17,2025-11-17_Cleveland_Milwaukee,Cleveland,Milwaukee,Cleveland,Milwaukee,7.5,Decision Tree,UNDERDOG,Milwaukee,7.5,LOSS
2025-11-17,2025-11-17_Detroit_Indiana,Detroit,Indiana,Detroit,Indiana,11.5,Logistic,FAVORITE,Detroit,-11.5,WIN
2025-11-17,2025-11-17_Detroit_Indiana,Detroit,Indiana,Detroit,Indiana,11.5,Linear,NO BET,,,NO BET
2025-11-17,2025-11-17_Detroit_Indiana,Detroit,Indiana,Detroit,Indiana,11.5,Random Forest,FAVORITE,Detroit,-11.5,WIN
2025-11-17,2025-11-17_Detroit_Indiana,Detroit,Indiana,Detroit,Indiana,11.5,Decision Tree,FAVORITE,Detroit,-11.5,WIN
2025-11-17,2025-11-17_Philadelphia_LaClippers,Philadelphia,La Clippers,Philadelphia,La Clippers,5.5,Logistic,UNDERDOG,La Clippers,5.5,WIN
2025-11-17,2025-11-17_Philadelphia_LaClippers,Philadelphia,La Clippers,Philadelphia,La Clippers,5.5,Linear,UNDERDOG,La Clippers,5.5,WIN
2025-11-17,2025-11-17_Philadelphia_LaClippers,Philadelphia,La Clippers,Philadelphia,La Clippers,5.5,Random Forest,FAVORITE,Philadelphia,-5.5,LOSS
2025-11-17,2025-11-17_Philadelphia_LaClippers,Philadelphia,La Clippers,Philadelphia,La Clippers,5.5,Decision Tree,FAVORITE,Philadelphia,-5.5,LOSS
2025-11-17,2025-11-17_Miami_NewYork,Miami,New York,Miami,New York,1.5,Logistic,FAVORITE,Miami,-1.5,WIN
2025-11-17,2025-11-17_Miami_NewYork,Miami,New York,Miami,New York,1.5,Linear,FAVORITE,Miami,-1.5,WIN
2025-11-17,2025-11-17_Miami_NewYork,Miami,New York,Miami,New York,1.5,Random Forest,FAVORITE,Miami,-1.5,WIN
2025-11-17,2025-11-17_Miami_NewYork,Miami,New York,Miami,New York,1.5,Decision Tree,FAVORITE,Miami,-1.5,WIN
2025-11-17,2025-11-17_Toronto_Charlotte,Toronto,Charlotte,Toronto,Charlotte,8.5,Logistic,FAVORITE,Toronto,-8.5,LOSS
2025-11-17,2025-11-17_Toronto_Charlotte,Toronto,Charlotte,Toronto,Charlotte,8.5,Linear,FAVORITE,Toronto,-8.5,LOSS
2025-11-17,2025-11-17_Toronto_Charlotte,Toronto,Charlotte,Toronto,Charlotte,8.5,Random Forest,FAVORITE,Toronto,-8.5,LOSS
2025-11-17,2025-11-17_Toronto_Charlotte,Toronto,Charlotte,Toronto,Charlotte,8.5,Decision Tree,UNDERDOG,Charlotte,8.5,WIN
2025-11-17,2025-11-17_Minnesota_Dallas,Minnesota,Dallas,Minnesota,Dallas,14.5,Logistic,UNDERDOG,Dallas,14.5,LOSS
2025-11-17,2025-11-17_Minnesota_Dallas,Minnesota,Dallas,Minnesota,Dallas,14.5,Linear,UNDERDOG,Dallas,14.5,LOSS
2025-11-17,2025-11-17_Minnesota_Dallas,Minnesota,Dallas,Minnesota,Dallas,14.5,Random Forest,FAVORITE,Minnesota,-14.5,WIN
2025-11-17,2025-11-17_Minnesota_Dallas,Minnesota,Dallas,Minnesota,Dallas,14.5,Decision Tree,FAVORITE,Minnesota,-14.5,WIN
2025-11-17,2025-11-17_OklaCity_NewOrleans,New Orleans,Okla City,Okla City,New Orleans,17.5,Logistic,FAVORITE,Okla City,-17.5,LOSS
2025-11-17,2025-11-17_OklaCity_NewOrleans,New Orleans,Okla City,Okla City,New Orleans,17.5,Linear,FAVORITE,Okla City,-17.5,LOSS
2025-11-17,2025-11-17_OklaCity_NewOrleans,New Orleans,Okla City,Okla City,New Orleans,17.5,Random Forest,NO BET,,,NO BET
2025-11-17,2025-11-17_OklaCity_NewOrleans,New Orleans,Okla City,Okla City,New Orleans,17.5,Decision Tree,FAVORITE,Okla City,-17.5,LOSS
2025-11-17,2025-11-17_Denver_Chicago,Denver,Chicago,Denver,Chicago,14.5,Logistic,FAVORITE,Denver,-14.5,LOSS
2025-11-17,2025-11-17_Denver_Chicago,Denver,Chicago,Denver,Chicago,14.5,Linear,FAVORITE,Denver,-14.5,LOSS
2025-11-17,2025-11-17_Denver_Chicago,Denver,Chicago,Denver,Chicago,14.5,Random Forest,FAVORITE,Denver,-14.5,LOSS
